lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r1i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -120.0000    	    40.99477    	    1830.500    	  -0.4617143    
   -122.5000    	    41.93717    	    1830.500    	   -1.641317    
   -121.2500    	    41.93717    	    1830.500    	   -1.138176    
   -120.0000    	    41.93717    	    1830.500    	   0.2287889    
   -122.5000    	    42.87958    	    1830.500    	   -2.225927    
   -121.2500    	    42.87958    	    1830.500    	   -1.399508    
   -120.0000    	    42.87958    	    1830.500    	  -0.1400211    
   -122.5000    	    37.22513    	    1831.500    	    2.116635    
   -121.2500    	    37.22513    	    1831.500    	   0.0000000E+00
   -120.0000    	    37.22513    	    1831.500    	   0.4155780    
   -122.5000    	    38.16754    	    1831.500    	    1.714132    
   -121.2500    	    38.16754    	    1831.500    	  -0.1241337    
   -120.0000    	    38.16754    	    1831.500    	  -0.8218322    
   -122.5000    	    39.10995    	    1831.500    	  -5.9643541E-02
   -121.2500    	    39.10995    	    1831.500    	  -0.4596322    
   -120.0000    	    39.10995    	    1831.500    	  -0.7451442    
   -122.5000    	    40.05236    	    1831.500    	  -0.7914946    
   -121.2500    	    40.05236    	    1831.500    	  -0.6150741    
   -120.0000    	    40.05236    	    1831.500    	  -0.7397883    
   -122.5000    	    40.99477    	    1831.500    	   -1.225536    
   -121.2500    	    40.99477    	    1831.500    	  -0.8703592    
   -120.0000    	    40.99477    	    1831.500    	  -0.7197813    
   -122.5000    	    41.93717    	    1831.500    	   -1.699651    
   -121.2500    	    41.93717    	    1831.500    	   -1.310698    
   -120.0000    	    41.93717    	    1831.500    	  -0.4732380    
   -122.5000    	    42.87958    	    1831.500    	   -2.300062    
   -121.2500    	    42.87958    	    1831.500    	   -1.579431    
   -120.0000    	    42.87958    	    1831.500    	  -0.3453603    
   -122.5000    	    37.22513    	    1841.500    	   -2.590154    
   -121.2500    	    37.22513    	    1841.500    	   -2.660999    
   -120.0000    	    37.22513    	    1841.500    	   -1.868086    
   -122.5000    	    38.16754    	    1841.500    	   -2.525049    
   -121.2500    	    38.16754    	    1841.500    	   -1.960420    
   -120.0000    	    38.16754    	    1841.500    	   -2.161265    
   -122.5000    	    39.10995    	    1841.500    	   -2.397741    
   -121.2500    	    39.10995    	    1841.500    	   -2.048741    
   -120.0000    	    39.10995    	    1841.500    	   -1.656914    
   -122.5000    	    40.05236    	    1841.500    	   -2.202484    
   -121.2500    	    40.05236    	    1841.500    	   -1.765449    
   -120.0000    	    40.05236    	    1841.500    	   -1.592790    
   -122.5000    	    40.99477    	    1841.500    	   -1.204255    
   -121.2500    	    40.99477    	    1841.500    	   5.7977695E-02
   -120.0000    	    40.99477    	    1841.500    	   0.1757268    
   -122.5000    	    41.93717    	    1841.500    	   0.3162835    
   -121.2500    	    41.93717    	    1841.500    	   0.8975101    
   -120.0000    	    41.93717    	    1841.500    	    1.250356    
   -122.5000    	    42.87958    	    1841.500    	   0.7949477    
   -121.2500    	    42.87958    	    1841.500    	    1.407410    
   -120.0000    	    42.87958    	    1841.500    	    1.701687    
   -122.5000    	    37.22513    	    1842.500    	   -2.380875    
   -121.2500    	    37.22513    	    1842.500    	   -2.527703    
   -120.0000    	    37.22513    	    1842.500    	   -1.894750    
   -122.5000    	    38.16754    	    1842.500    	   -2.357052    
   -121.2500    	    38.16754    	    1842.500    	   -1.794261    
   -120.0000    	    38.16754    	    1842.500    	   -2.122159    
