lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi GFDL_ESM2M pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -118.7500    	    39.43820    	    1375.500    	    2.449379    
   -121.2500    	    41.46067    	    1375.500    	    2.962792    
   -118.7500    	    41.46067    	    1375.500    	    4.091502    
   -121.2500    	    43.48315    	    1375.500    	    2.081092    
   -118.7500    	    43.48315    	    1375.500    	    2.698805    
   -121.2500    	    35.39326    	    1385.500    	    2.847806    
   -118.7500    	    35.39326    	    1385.500    	    2.846252    
   -121.2500    	    37.41573    	    1385.500    	  -0.2627223    
   -118.7500    	    37.41573    	    1385.500    	    1.946127    
   -121.2500    	    39.43820    	    1385.500    	    1.743025    
   -118.7500    	    39.43820    	    1385.500    	    2.617725    
   -121.2500    	    41.46067    	    1385.500    	  -0.1838889    
   -118.7500    	    41.46067    	    1385.500    	    2.982412    
   -121.2500    	    43.48315    	    1385.500    	   -1.143662    
   -118.7500    	    43.48315    	    1385.500    	  -0.5517771    
   -121.2500    	    35.39326    	    1386.500    	  -1.9369353E-02
   -118.7500    	    35.39326    	    1386.500    	    2.847666    
   -121.2500    	    37.41573    	    1386.500    	  -0.3293028    
   -118.7500    	    37.41573    	    1386.500    	    2.647501    
   -121.2500    	    39.43820    	    1386.500    	    2.084676    
   -118.7500    	    39.43820    	    1386.500    	    3.918576    
   -121.2500    	    41.46067    	    1386.500    	  -0.1826653    
   -118.7500    	    41.46067    	    1386.500    	    3.608235    
   -121.2500    	    43.48315    	    1386.500    	   -1.837883    
   -118.7500    	    43.48315    	    1386.500    	   -1.163882    
   -121.2500    	    35.39326    	    1387.500    	  -0.1037439    
   -118.7500    	    35.39326    	    1387.500    	  -9.9246040E-02
   -121.2500    	    37.41573    	    1387.500    	  -0.4178003    
   -118.7500    	    37.41573    	    1387.500    	    2.741648    
   -121.2500    	    39.43820    	    1387.500    	    1.877612    
   -118.7500    	    39.43820    	    1387.500    	    4.549160    
   -121.2500    	    41.46067    	    1387.500    	  -0.2508088    
   -118.7500    	    41.46067    	    1387.500    	    4.004582    
   -121.2500    	    43.48315    	    1387.500    	   -2.274991    
   -118.7500    	    43.48315    	    1387.500    	   -1.731051    
   -121.2500    	    35.39326    	    1397.500    	   -1.552870    
   -118.7500    	    35.39326    	    1397.500    	   -2.513800    
   -121.2500    	    37.41573    	    1397.500    	   -1.391638    
   -118.7500    	    37.41573    	    1397.500    	   -1.814203    
   -121.2500    	    39.43820    	    1397.500    	  -0.8178770    
   -118.7500    	    39.43820    	    1397.500    	   -1.343233    
   -121.2500    	    41.46067    	    1397.500    	  -0.2580853    
   -118.7500    	    41.46067    	    1397.500    	  -0.8720008    
   -121.2500    	    43.48315    	    1397.500    	  -0.1504369    
   -118.7500    	    43.48315    	    1397.500    	  -0.6050108    
   -121.2500    	    35.39326    	    1398.500    	   -1.443330    
   -118.7500    	    35.39326    	    1398.500    	   -2.532766    
   -121.2500    	    37.41573    	    1398.500    	   -1.449127    
   -118.7500    	    37.41573    	    1398.500    	   -2.100687    
   -121.2500    	    39.43820    	    1398.500    	   -1.098196    
   -118.7500    	    39.43820    	    1398.500    	   -2.057483    
   -121.2500    	    41.46067    	    1398.500    	  -0.5010509    
   -118.7500    	    41.46067    	    1398.500    	   -1.403344    
   -121.2500    	    43.48315    	    1398.500    	  -0.1322935    
   -118.7500    	    43.48315    	    1398.500    	  -0.5410726    
   -121.2500    	    35.39326    	    1399.500    	   -1.384369    
   -118.7500    	    35.39326    	    1399.500    	   -2.444880    
   -121.2500    	    37.41573    	    1399.500    	   -1.440495    
   -118.7500    	    37.41573    	    1399.500    	   -2.199200    
   -121.2500    	    39.43820    	    1399.500    	   -1.271561    
   -118.7500    	    39.43820    	    1399.500    	   -2.369621    
   -121.2500    	    41.46067    	    1399.500    	  -0.9239275    
   -118.7500    	    41.46067    	    1399.500    	   -1.883013    
   -121.2500    	    43.48315    	    1399.500    	  -0.4250740    
   -118.7500    	    43.48315    	    1399.500    	  -0.8111504    
   -121.2500    	    35.39326    	    1409.500    	  -0.3368576    
   -118.7500    	    35.39326    	    1409.500    	   0.2555139    
   -121.2500    	    37.41573    	    1409.500    	   -1.364725    
   -118.7500    	    37.41573    	    1409.500    	   0.5458831    
   -121.2500    	    39.43820    	    1409.500    	   -1.523790    
   -118.7500    	    39.43820    	    1409.500    	   0.0000000E+00
   -121.2500    	    41.46067    	    1409.500    	   -1.427811    
   -118.7500    	    41.46067    	    1409.500    	   2.2444017E-02
   -121.2500    	    43.48315    	    1409.500    	   -1.200738    
   -118.7500    	    43.48315    	    1409.500    	  -0.5164149    
   -121.2500    	    35.39326    	    1410.500    	  -0.3656583    
   -118.7500    	    35.39326    	    1410.500    	   0.0000000E+00
   -121.2500    	    37.41573    	    1410.500    	   -1.402990    
   -118.7500    	    37.41573    	    1410.500    	   0.6508494    
   -121.2500    	    39.43820    	    1410.500    	   -1.811375    
   -118.7500    	    39.43820    	    1410.500    	   0.5323553    
   -121.2500    	    41.46067    	    1410.500    	   -1.921875    
   -118.7500    	    41.46067    	    1410.500    	   0.3324326    
   -121.2500    	    43.48315    	    1410.500    	   -1.808570    
   -118.7500    	    43.48315    	    1410.500    	  -0.3109766    
   -121.2500    	    35.39326    	    1411.500    	  -0.4070905    
   -118.7500    	    35.39326    	    1411.500    	   0.0000000E+00
   -121.2500    	    37.41573    	    1411.500    	   -1.380236    
   -118.7500    	    37.41573    	    1411.500    	   0.4120906    
   -121.2500    	    39.43820    	    1411.500    	   -1.906727    
   -118.7500    	    39.43820    	    1411.500    	   0.3069106    
   -121.2500    	    41.46067    	    1411.500    	   -2.262912    
   -118.7500    	    41.46067    	    1411.500    	   0.1549812    
   -121.2500    	    43.48315    	    1411.500    	   -2.058935    
   -118.7500    	    43.48315    	    1411.500    	  -0.3146451    
   -121.2500    	    35.39326    	    1421.500    	   -2.820142    
   -118.7500    	    35.39326    	    1421.500    	   -2.378622    
   -121.2500    	    37.41573    	    1421.500    	   -2.268277    
   -118.7500    	    37.41573    	    1421.500    	   -1.802349    
   -121.2500    	    39.43820    	    1421.500    	    1.101331    
   -118.7500    	    39.43820    	    1421.500    	    1.505609    
   -121.2500    	    41.46067    	    1421.500    	   0.9051665    
   -118.7500    	    41.46067    	    1421.500    	    1.147563    
   -121.2500    	    43.48315    	    1421.500    	   0.3964690    
   -118.7500    	    43.48315    	    1421.500    	   0.4110011    
   -121.2500    	    35.39326    	    1422.500    	   -2.595769    
   -118.7500    	    35.39326    	    1422.500    	   -2.389933    
   -121.2500    	    37.41573    	    1422.500    	   -2.190760    
   -118.7500    	    37.41573    	    1422.500    	   -1.805828    
   -121.2500    	    39.43820    	    1422.500    	    1.502893    
   -118.7500    	    39.43820    	    1422.500    	    1.644789    
   -121.2500    	    41.46067    	    1422.500    	    1.007799    
   -118.7500    	    41.46067    	    1422.500    	    1.203655    
   -121.2500    	    43.48315    	    1422.500    	   0.5048542    
   -118.7500    	    43.48315    	    1422.500    	   0.5161034    
   -121.2500    	    35.39326    	    1423.500    	   -2.419987    
   -118.7500    	    35.39326    	    1423.500    	   -2.266014    
   -121.2500    	    37.41573    	    1423.500    	   -2.090202    
   -118.7500    	    37.41573    	    1423.500    	   -1.855493    
   -121.2500    	    39.43820    	    1423.500    	    1.177875    
   -118.7500    	    39.43820    	    1423.500    	  -0.1726636    
   -121.2500    	    41.46067    	    1423.500    	   0.6245230    
   -118.7500    	    41.46067    	    1423.500    	   0.8381072    
   -121.2500    	    43.48315    	    1423.500    	   0.2938443    
   -118.7500    	    43.48315    	    1423.500    	   0.3408088    
   -121.2500    	    35.39326    	    1433.500    	   -5.069048    
   -118.7500    	    35.39326    	    1433.500    	   -5.151031    
   -121.2500    	    37.41573    	    1433.500    	   -3.308757    
   -118.7500    	    37.41573    	    1433.500    	   -3.942438    
   -121.2500    	    39.43820    	    1433.500    	   -1.677763    
   -118.7500    	    39.43820    	    1433.500    	   -2.461478    
   -121.2500    	    41.46067    	    1433.500    	   -1.834055    
   -118.7500    	    41.46067    	    1433.500    	   -1.884618    
   -121.2500    	    43.48315    	    1433.500    	   -1.296067    
   -118.7500    	    43.48315    	    1433.500    	   -1.743967    
   -121.2500    	    35.39326    	    1434.500    	   -4.617370    
   -118.7500    	    35.39326    	    1434.500    	   -4.874308    
   -121.2500    	    37.41573    	    1434.500    	   -3.116726    
   -118.7500    	    37.41573    	    1434.500    	   -3.979191    
   -121.2500    	    39.43820    	    1434.500    	   -1.772404    
   -118.7500    	    39.43820    	    1434.500    	   -2.997424    
   -121.2500    	    41.46067    	    1434.500    	   -2.301407    
   -118.7500    	    41.46067    	    1434.500    	   -2.536084    
   -121.2500    	    43.48315    	    1434.500    	   -1.735049    
   -118.7500    	    43.48315    	    1434.500    	   -2.450214    
   -121.2500    	    35.39326    	    1435.500    	   -4.234945    
   -118.7500    	    35.39326    	    1435.500    	   -4.543560    
   -121.2500    	    37.41573    	    1435.500    	   -2.926735    
   -118.7500    	    37.41573    	    1435.500    	   -3.874220    
   -121.2500    	    39.43820    	    1435.500    	   -1.878340    
   -118.7500    	    39.43820    	    1435.500    	   -3.217080    
   -121.2500    	    41.46067    	    1435.500    	   -2.646628    
   -118.7500    	    41.46067    	    1435.500    	   -3.008512    
   -121.2500    	    43.48315    	    1435.500    	   -2.210136    
   -118.7500    	    43.48315    	    1435.500    	   -3.134122    
   -121.2500    	    35.39326    	    1445.500    	   -7.320082    
   -118.7500    	    35.39326    	    1445.500    	   -6.108034    
   -121.2500    	    37.41573    	    1445.500    	   -5.330708    
   -118.7500    	    37.41573    	    1445.500    	   -4.757834    
   -121.2500    	    39.43820    	    1445.500    	   -3.387242    
   -118.7500    	    39.43820    	    1445.500    	   -3.351207    
   -121.2500    	    41.46067    	    1445.500    	   -3.217842    
   -118.7500    	    41.46067    	    1445.500    	   -2.485793    
   -121.2500    	    43.48315    	    1445.500    	   -3.297786    
   -118.7500    	    43.48315    	    1445.500    	   -2.208875    
   -121.2500    	    35.39326    	    1446.500    	   -6.636680    
   -118.7500    	    35.39326    	    1446.500    	   -5.739918    
   -121.2500    	    37.41573    	    1446.500    	   -4.966061    
   -118.7500    	    37.41573    	    1446.500    	   -4.706705    
   -121.2500    	    39.43820    	    1446.500    	   -3.344632    
   -118.7500    	    39.43820    	    1446.500    	   -3.438768    
   -121.2500    	    41.46067    	    1446.500    	   -3.430875    
   -118.7500    	    41.46067    	    1446.500    	   -2.833597    
   -121.2500    	    43.48315    	    1446.500    	   -3.574732    
   -118.7500    	    43.48315    	    1446.500    	   -2.563377    
   -121.2500    	    35.39326    	    1447.500    	   -6.008027    
   -118.7500    	    35.39326    	    1447.500    	   -5.304691    
   -121.2500    	    37.41573    	    1447.500    	   -4.561452    
   -118.7500    	    37.41573    	    1447.500    	   -4.472780    
   -121.2500    	    39.43820    	    1447.500    	   -3.267523    
   -118.7500    	    39.43820    	    1447.500    	   -3.486868    
   -121.2500    	    41.46067    	    1447.500    	   -3.575341    
   -118.7500    	    41.46067    	    1447.500    	   -3.140482    
   -121.2500    	    43.48315    	    1447.500    	   -3.560706    
   -118.7500    	    43.48315    	    1447.500    	   -2.892126    
   -121.2500    	    35.39326    	    1457.500    	  -7.9075515E-02
   -118.7500    	    35.39326    	    1457.500    	    1.477451    
   -121.2500    	    37.41573    	    1457.500    	    1.069248    
   -118.7500    	    37.41573    	    1457.500    	   0.0000000E+00
   -121.2500    	    39.43820    	    1457.500    	   0.2594265    
   -118.7500    	    39.43820    	    1457.500    	   -2.454917    
   -121.2500    	    41.46067    	    1457.500    	   -3.042928    
   -118.7500    	    41.46067    	    1457.500    	   -4.284112    
   -121.2500    	    43.48315    	    1457.500    	   -4.424072    
   -118.7500    	    43.48315    	    1457.500    	   -4.987657    
   -121.2500    	    35.39326    	    1458.500    	  -7.2313003E-02
   -118.7500    	    35.39326    	    1458.500    	    1.459185    
   -121.2500    	    37.41573    	    1458.500    	   0.8056242    
   -118.7500    	    37.41573    	    1458.500    	   0.3840269    
   -121.2500    	    39.43820    	    1458.500    	   0.0000000E+00
